,Unnamed: 0,responsibility,conditions,requirement,description,name,city,salary_from,salary_to,employer,published_at,experience,employment,schedule,key_skills
1255,1255,,,,"если вы ищит е работу программистом в хорошей компании и коллективом, то эта вакансия для вас! мы предлагаем: график работы понедельник-пятница с 9:00 до 18:00. дружный и позитивный коллектив. удобное месторасположение - наш офис находится в центре города. официальное трудоустройство. что требуется: знание типовых конфигураций 1с (наличие сертификата &quot;специалист&quot; по платформе 1с 8.2-8.3 приветствуется). опыт программирования в среде 1с от 2х лет. стремление к профессиональному росту. ваши обязанности: участвовать в крупных проектах внедрения и доработках пп 1с, типовых и не типовых конфигураций. обеспечение качественного внедрения программ 1c у клиентов компании. доработка конфигураций 1с, интеграция 1с с другими системами. создание собственных решений и разработок. участвовать в проектах внедрения и доработках пп 1с, типовых и не типовых конфигураций. сложные обновления, переносы данных, переходы на новые конфигурации. ждем ваши резюме!",программист 1с,Тюмень,,50000.0,Первый Бит,2019-09-17T08:43:24+0300,between1And3,full,fullDay,1С программирование|1C: Бухгалтерия|1С: Предприятие 8|1С: Документооборот|1С: Управление Торговлей
495,495,"создание и доработка систем автоматизации предприятия на базе 1с 8.2.-8.3 (разработка отдельных функциональных модулей, интеграция с другими ит-системами, внедрение, сопровождение)","в оптовую торговую компанию требуется специалист по доработке функционала 1с. дружный коллектив, интересные задачи. желательны знания уже имеющихся модулей/разработок, созданных сторонними компаниями для оптимизации времени на решения задач.","опыт программирования от 1 года в оптовую торговую компанию требуется специалист по доработке функционала 1с. дружный коллектив, интересные задачи. желательны знания уже имеющихся модулей/разработок, созданных сторонними компаниями для оптимизации времени на решения задач.","создание и доработка систем автоматизации предприятия на базе 1с 8.2.-8.3 (разработка отдельных функциональных модулей, интеграция с другими ит-системами, внедрение, сопровождение) 2 . создание требуемых отчётов и обработок. опыт программирования от 1 года в оптовую торговую компанию требуется специалист по доработке функционала 1с. дружный коллектив, интересные задачи. желательны знания уже имеющихся модулей/разработок, созданных сторонними компаниями для оптимизации времени на решения задач.",программист 1с,Санкт-Петербург,45000.0,60000.0,ТД Прайд,2019-09-18T11:58:13+0300,between1And3,project,remote,1С: Предприятие 8|1С: Торговля|1С программирование|C++|1С: Документооборот
428,428,"создание и доработка документов, отчетов, обработок. работа с web-сервисами обычное приложение управляемое приложение клиент-сервер",,,"требуется программист для доработки и дальнейшего развития самописной конфигурации на основании упп. требование: желание и умение программировать в 1с ответственность коммуникабельность создание и доработка документов, отчетов, обработок. работа с web-сервисами обычное приложение управляемое приложение клиент-сервер",программист 1с,Санкт-Петербург,,60000.0,Окна Потолки Петербурга,2019-09-18T11:01:41+0300,between1And3,full,fullDay,1С программирование|1С: Управление Производственным Предприятием|Web-сервис|Клиент-Сервер
1205,1205,"внедрение, доработка, сопровождение информационных баз на платформе &quot;1с:предприятие 8&quot; обновление не типовых конфигураций, разработка отчетов и т.д обновление платформы 1с","работа в крупной, стабильной, динамично развивающейся компании; перспектива карьерного роста; официальное трудоустройство согласно тк рф; социальный пакет согласно тк рф; достойная и своевременная заработная плата.","опыт работы с упп, ут, бухгалтерия знание скд, web сервисы, ms sql резервное копирование баз, написание скриптов работа в крупной, стабильной, динамично развивающейся компании; перспектива карьерного роста; официальное трудоустройство согласно тк рф; социальный пакет согласно тк рф; достойная и своевременная заработная плата.","торговый дом “русойл” - крупнейшая динамично развивающаяся компания на рынке отечественных и зарубежных автотоваров западно-сибирского и уральского регионов, член союза промышленников рф. основанная в 1998 году, на сегодняшний день компания преобразована в холдинг и представляет несколько направлений деятельности. специализация деятельности – оптовые поставки товаров для автомобилей, розничная торговля (сеть магазинов &quot;автосити&quot; в тюмени и тюменской области), производство спецжидкостей для автомобилей, продажа и сервисное обслуживание мототехники (центр &quot;мотосити&quot;) торговый дом “русойл” работает с ведущими производителями и поставщиками автотоваров в россии и за рубежом. внедрение, доработка, сопровождение информационных баз на платформе &quot;1с:предприятие 8&quot; обновление не типовых конфигураций, разработка отчетов и т.д обновление платформы 1с опыт работы с упп, ут, бухгалтерия знание скд, web сервисы, ms sql резервное копирование баз, написание скриптов работа в крупной, стабильной, динамично развивающейся компании; перспектива карьерного роста; официальное трудоустройство согласно тк рф; социальный пакет согласно тк рф; достойная и своевременная заработная плата.",программист 1с,Тюмень,50000.0,70000.0,ТД Русойл,2019-10-01T12:00:24+0300,moreThan6,full,fullDay,1С программирование|MS SQL|1С: Предприятие 8|1С: Бухгалтерия
1176,1176,,,,"задачи: участие в разработке и внедрении программного обеспечения в сфере здравоохранения (ооо 1с-медицина-регион); программирование в среде 1с: предприятие 8; работа с техническими заданиями через консультантов 1с, т.е. без общения с клиентами; выполнение сложных и интересных задач мы ищем сотрудника с: образованием: высшее/ неполное высшее знанием основ программирования на платформе 1с стремлением к профессиональному росту высокой работоспособностью и стрессоустойчивостью умением работать в коллективе мы предлагаем: интересные и разносторонние задачи. стабильная‚ официальная‚ конкурентоспособная заработная плата. пятидневная рабочая неделя, рабочий день: 9:00-18:00 оформление по тк рф. уютный офис в центре города. молодой и дружный коллектив из профессионалов своего дела; возможности обучения и сертификации для сотрудников компании корпоративные мероприятия",программист 1с,Тюмень,50000.0,80000.0,ГК ТюмБИТ,2019-10-08T08:07:02+0300,noExperience,full,remote,1С программирование|1С: Предприятие 8|1С: Медицина
1116,1116,"сопровождение, доработка, администрирование конфигураций на платформе 1с: предприятие (ка, до, erp) разработка нового и изменение существующего функционала конфигураций. интеграция 1с с 1с и с внешними системами. консультирование пользователей при возникновении задач и рабочих вопросов.","работа в стабильно развивающейся компании в г. тюмени; интересные задачи; молодой дружный коллектив; официальное трудоустройство в соответствии с тк рф; пятидневная рабочая неделя с 8:30 до 17:30; корпоративный транспорт; оплата занятий в бассейне; корпоративная мобильная связь, оборудованное рабочее место, уютный светлый офис, большая парковка.","знание языка запросов. опыт разработки в клиент-серверном режиме, умение работать с обычными и управляемыми формами. опыт работы с скд. опыт работы с типовыми конфигурациями 1:с. знание механизмов интеграции 1с. работа в стабильно развивающейся компании в г. тюмени; интересные задачи; молодой дружный коллектив; официальное трудоустройство в соответствии с тк рф; пятидневная рабочая неделя с 8:30 до 17:30; корпоративный транспорт; оплата занятий в бассейне; корпоративная мобильная связь, оборудованное рабочее место, уютный светлый офис, большая парковка.","&quot;взлет-тюмень&quot; представительство ао &quot;взлет&quot; (г. санкт-петербург) в урфо - ведущего российского предприятия в области разработки, производства и внедрения приборов учета расхода жидкостей, тепловой энергии и регулирования тепловодоресурсов. «взлет-тюмень» это проектно-строительное предприятие, специализирующееся на проектировании тепловых сетей, капитальном ремонте, реконструкции объектов теплоснабжения (цтп, пнс, вспомогательные объекты), водоснабжения (спд, водозаборные узлы) и узлов учета. в г. тюмень предприятие «взлет-тюмень» разрабатывает и производит изделия полной заводской готовности: автоматизированные тепловые пункты, насосные станции, шкафы электроуправления, готовые решения в блок-боксах. в связи с расширением штата мы рады пригласить к нам разработчика 1с с желанием работать и развиваться в нашей компании. сопровождение, доработка, администрирование конфигураций на платформе 1с: предприятие (ка, до, erp) разработка нового и изменение существующего функционала конфигураций. интеграция 1с с 1с и с внешними системами. консультирование пользователей при возникновении задач и рабочих вопросов. знание языка запросов. опыт разработки в клиент-серверном режиме, умение работать с обычными и управляемыми формами. опыт работы с скд. опыт работы с типовыми конфигурациями 1:с. знание механизмов интеграции 1с. работа в стабильно развивающейся компании в г. тюмени; интересные задачи; молодой дружный коллектив; официальное трудоустройство в соответствии с тк рф; пятидневная рабочая неделя с 8:30 до 17:30; корпоративный транспорт; оплата занятий в бассейне; корпоративная мобильная связь, оборудованное рабочее место, уютный светлый офис, большая парковка.",программист 1с,Тюмень,75000.0,85000.0,Взлет-Тюмень,2019-10-10T14:06:04+0300,between1And3,full,fullDay,1С: Предприятие 8|1С: Бухгалтерия|1С: Комплексная автоматизация|Работа в команде|Ориентация на результат
1240,1240,,"• отличный профессиональный коллектив , возможность профессионального развития и самореализации, карьерного роста. • трудоустройство официальное, корпоративные мероприятия и спорт.","• образование: высшее, неоконченное высшее, среднее • стаж работы: от трех лет, или не менее 1 года программирования 1:с. • владение пк: профессиональное • личностные качества: аналитическое мышление, быстрая обучаемость, ответственность, целеустремленность, добросовестность, аккуратность и пунктуальность.","требуются программисты разного уровня (junior, middle, senjor), в т.ч. и веб-разработчики. в зависимости от уровня профессионализма обсуждаются пожелания кандидатов по з.п. мы можем предоставить много интересных задач и возможность развиваться в профессиональном плане и достойную заработную плату. требуемый опыт работы: 1–3 года полная занятость, полный день должностные обязанности: • разработка программного обеспечения на базе 1с с интеграцией к web,python • образование: высшее, неоконченное высшее, среднее • стаж работы: от трех лет, или не менее 1 года программирования 1:с. • владение пк: профессиональное • личностные качества: аналитическое мышление, быстрая обучаемость, ответственность, целеустремленность, добросовестность, аккуратность и пунктуальность. профессиональные качества: • 1c предприятие 8.3 • умение разбираться в чужом коде • понимание, создание и изменение бизнес-процессов • web-сервисы 1c • запросы 1с и sql (обязательно) • python, js, websockets и пр. (приветствуется) • опыт работы с linux (приветствуется) • опыт работы с webrtc (приветствуется) • отличный профессиональный коллектив , возможность профессионального развития и самореализации, карьерного роста. • трудоустройство официальное, корпоративные мероприятия и спорт.",программист 1с,Тюмень,70000.0,90000.0,Автоград Центр,2019-10-08T10:18:36+0300,between1And3,full,fullDay,1С программирование|JavaScript|MySQL|Python
1316,1316,разработка и сопровождение собственной конфигурации оперативного учета на платформе 8.3 и 1с документооборот доработка и внедрение erp,доставка на работу и обратно транспортом предприятия трудоустройство по тк рф своевременная выплата заработной платы столовая медпункт спортзал мед. страхование возможность санаторно-курортного лечения,"опыт программирования на платформе 8.3. знание скд, бсп, запросов, управляемых форм, web-сервисов. понимание работы складских бизнес-процессов. опыт работы на производственном или торгово-оптовом предприятии. приветствуется опыт конвертации данных, знание erp, sql. доставка на работу и обратно транспортом предприятия трудоустройство по тк рф своевременная выплата заработной платы столовая медпункт спортзал мед. страхование возможность санаторно-курортного лечения","разработка и сопровождение собственной конфигурации оперативного учета на платформе 8.3 и 1с документооборот доработка и внедрение erp опыт программирования на платформе 8.3. знание скд, бсп, запросов, управляемых форм, web-сервисов. понимание работы складских бизнес-процессов. опыт работы на производственном или торгово-оптовом предприятии. приветствуется опыт конвертации данных, знание erp, sql. доставка на работу и обратно транспортом предприятия трудоустройство по тк рф своевременная выплата заработной платы столовая медпункт спортзал мед. страхование возможность санаторно-курортного лечения",программист 1с,Тюмень,100000.0,100000.0,Сибнефтемаш,2019-10-03T14:55:27+0300,between3And6,full,fullDay,платформа 8.3
1115,1115,"сопровождение программных продуктов 1с (конфигурации 1c:бух, 1с:зуп, 1с:упп); разработка функционала по техническому заданию. обновление модифицированных конфигураций, создание отчетов и обработок, переносы данных, переходы на новые конфигурации обучение и консультирование пользователей.",официальное трудоустройство оплата труда обсуждается индивидуально,"владение программой 1с, опыт программирования образование и стаж работы 1-3 года официальное трудоустройство оплата труда обсуждается индивидуально","сопровождение программных продуктов 1с (конфигурации 1c:бух, 1с:зуп, 1с:упп); разработка функционала по техническому заданию. обновление модифицированных конфигураций, создание отчетов и обработок, переносы данных, переходы на новые конфигурации обучение и консультирование пользователей. владение программой 1с, опыт программирования образование и стаж работы 1-3 года официальное трудоустройство оплата труда обсуждается индивидуально",программист 1с,Тюмень,,100000.0,РУСОЙЛ,2019-09-23T08:50:55+0300,between1And3,full,fullDay,
989,989,разработка и проектирование системы автоматизации предприятия на базе 1с: erp 2.4; анализ и исправление возникающих проблем и ошибок в работе пользователей; поиск и исправление ошибок в существующем программном коде; подготовка инструкций для пользователей; создание дополнительных отчетов и печатных форм; обработка заявок от пользователей.,"график работы: пн-пт. с 09.00 до 18.00; оформление согласно тк рф, белая з/п (окладная часть обсуждается с успешным кандидатом), премии; испытательный срок 3 месяца; офис рядом со ст.м. электросила; дружный коллектив, возможность развития.","хороший уровень программирования на 1с 8 от 3 лет, знание управляемых форм, скд, бсп. знание одной из конфигураций 1с:erp 2.4 (ка2, ут11) график работы: пн-пт. с 09.00 до 18.00; оформление согласно тк рф, белая з/п (окладная часть обсуждается с успешным кандидатом), премии; испытательный срок 3 месяца; офис рядом со ст.м. электросила; дружный коллектив, возможность развития.","в связи с расширением штата, крупнейшей климатической компании, требуется программист техподдержки! разработка и проектирование системы автоматизации предприятия на базе 1с: erp 2.4; анализ и исправление возникающих проблем и ошибок в работе пользователей; поиск и исправление ошибок в существующем программном коде; подготовка инструкций для пользователей; создание дополнительных отчетов и печатных форм; обработка заявок от пользователей. хороший уровень программирования на 1с 8 от 3 лет, знание управляемых форм, скд, бсп. знание одной из конфигураций 1с:erp 2.4 (ка2, ут11) график работы: пн-пт. с 09.00 до 18.00; оформление согласно тк рф, белая з/п (окладная часть обсуждается с успешным кандидатом), премии; испытательный срок 3 месяца; офис рядом со ст.м. электросила; дружный коллектив, возможность развития.",программист 1с,Санкт-Петербург,80000.0,130000.0,«ТРЕЙДКОН»,2019-10-02T10:48:16+0300,between3And6,full,fullDay,
74,74,"программирование, разработка в среде 1с и интеграция с другими ит-системами умение самостоятельно прорабатывать задачи, придумывать решения системность, аналитические способности, ориентация на результат разработка и сопровождение нетиповых конфигураций",удаленная работа на полный рабочий день или сдельная удаленная работа,​​​​​​профессиональный опыт разработки приложений 1с от 3-х лет опыт командной разработки работа с веб-сервисами опыт использования скд удаленная работа на полный рабочий день или сдельная удаленная работа,"программирование, разработка в среде 1с и интеграция с другими ит-системами умение самостоятельно прорабатывать задачи, придумывать решения системность, аналитические способности, ориентация на результат разработка и сопровождение нетиповых конфигураций ​​​​​​профессиональный опыт разработки приложений 1с от 3-х лет опыт командной разработки работа с веб-сервисами опыт использования скд удаленная работа на полный рабочий день или сдельная удаленная работа",программист 1с,Санкт-Петербург,120000.0,140000.0,Wise Wolves Group,2019-10-08T12:40:02+0300,between3And6,full,remote,
1143,1143,сопровождение баз 1с обновление разработка отчетов и обработок разработка выгрузки между базами обучение сотрудников написание инструкций,,"знание 1с: 8.2, 1с: 8.3 наличие сертификатов приветствуется желание обучаться и сдавать на сертификаты","сопровождение баз 1с обновление разработка отчетов и обработок разработка выгрузки между базами обучение сотрудников написание инструкций знание 1с: 8.2, 1с: 8.3 наличие сертификатов приветствуется желание обучаться и сдавать на сертификаты",программист 1с,Тюмень,45000.0,,ЧУДПО Учебный центр «Дельфа»,2019-09-27T07:28:58+0300,between3And6,full,fullDay,
1230,1230,,,,"кто мы: - it-компания, предоставляющая облачные решения в сфере такси. к нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия. мы хотим найти человека у которого: - опыт работы на платформе 1с 8 (более 2-х лет); - опыт разработки на обычных и управляемых формах; - хорошее знание языка запросов; - знание основ бухгалтерского и управленческого учета. будем большим плюсом, если: - есть сертификат по платформе 1с; - есть опыт интеграции 1с баз, как между собой, так и со сторонними сервисами (ws, http, etc); - есть опыт командной разработки. что мы предлагаем: - множество интересных задач, в решении которых вы можете принять полноправное участие; - дружелюбный коллектив профессионалов; - корпоративное обучение; - поездки на it-конференции; - комфортное рабочее место; - компенсацию питания; - бесплатные корпоративные мероприятия; - уровень заработной платы, который зависит от технических знаний и навыков (регулярные пересмотры при повышении результатов и качества работы).",программист 1с,Тюмень,60000.0,,Сервис заказа такси Максим,2019-10-07T14:28:48+0300,between1And3,full,fullDay,
1307,1307,,,"опыт работы с расширениями конфигураций. опыт работы в ут, бп, зуп ( управляемые формы)","должностные обязанности: ежедневный мониторинг бесперебойной работы приложений 1с контроль и коррекция ежедневных регламентных выгрузок участие в проектах автоматизации бизнес-процессов и систем интеграции на базе 1с дописание конфигурации нетиповой платформы (опыт работы с хранилищем конфигурации) написание внешних отчетов, обработок по предоставленным заявкам пользователей опыт работы с расширениями конфигураций. опыт работы в ут, бп, зуп ( управляемые формы) мы предлагаем: официальное трудоустройство своевременная выплата заработной платы график: 5/2, с 8:00 до 17:00 развитая корпоративная культура дружный коллектив рассматриваем фрилансеров",программист 1с,Тюмень,60000.0,,КрепыЖ,2019-09-26T08:43:14+0300,between1And3,full,fullDay,
837,837,,,,"привет. мы компания 7деталей. мы ищем крутого самостоятельного программиста в распределенную команду разработки. если ты крут в 1с, имеешь супер уникальный опыт, хочешь свои знания воплощать в жизнь решая нестандартные задачи, то мы ищем именно тебя. идеальный кандидат в наших глазах выглядит так: опыт разработки 1с от 3-х лет способность анализировать бизнес процесс умение читать и оптимизировать «чужой код» знания платформы 8.3 (управляемые формы) знания языка запросов, скд уверенные знание sql уверенные знания soap и http умение администрировать 1с сервера способность проводить анализ данных знание конфигурации ут 10.3, 1с автосервис а так же бсп что он будет делать наш кандидат на работе: разрабатывать новый функционал, обновлять, консультировать, писать тех. документацию общаться с крутыми коллегами из разных стран внедрять современные технологии в бизнес компании веселиться на корпоративах в разных городах (в будущем и странах) мы предлагаем: удаленную работу по гибкому графику (8 часов в день) своевременную выплату заработной платы повышение квалификации за счет компании если все сказанное про тебя, то мы ждем отклик на нашу вакансию уже сейчас.",программист 1с,Санкт-Петербург,70000.0,,Кузьмин Антон Михайлович,2019-10-02T23:25:26+0300,between3And6,full,remote,SQL|1С: Документооборот|1С: Управление Торговлей|MS SQL|1С программирование|БСП
